GENE_NAME	ANNOT
ABLIM1	axon guidance;visual perception;organ morphogenesis;positive regulation of transcription from RNA polymerase II promoter;cytoskeleton organization
ABLIM2	cytoskeleton organization;axon guidance
ABLIM3	cytoskeleton organization;axon guidance;positive regulation of transcription from RNA polymerase II promoter
ABO	carbohydrate metabolic process;protein glycosylation
ABR	induction of apoptosis by extracellular signals;nerve growth factor receptor signaling pathway;actin cytoskeleton organization;negative regulation of inflammatory response;negative regulation of cell migration;positive regulation of phagocytosis;response to lipopolysaccharide;neuromuscular process controlling balance;regulation of Rho protein signal transduction;regulation of small GTPase mediated signal transduction;apoptotic process;inner ear morphogenesis;small GTPase mediated signal transduction;negative regulation of neutrophil degranulation;brain development;positive regulation of GTPase activity
ABRACL	-
ABT1	regulation of transcription from RNA polymerase II promoter;transcription from RNA polymerase II promoter;spinal cord motor neuron differentiation
ABTB1	-
ABTB2	regulation of cell growth
ACAA1	small molecule metabolic process;fatty acid metabolic process;fatty acid beta-oxidation using acyl-CoA oxidase;cellular lipid metabolic process
ACAA2	acetyl-CoA metabolic process;lipid metabolic process;fatty acid metabolic process;fatty acid beta-oxidation;cholesterol biosynthetic process;anti-apoptosis
ACACA	long-chain fatty-acyl-CoA biosynthetic process;tissue homeostasis;response to drug;acetyl-CoA metabolic process;cellular lipid metabolic process;energy reserve metabolic process;multicellular organismal protein metabolic process;fatty acid biosynthetic process;small molecule metabolic process;response to organic cyclic compound;protein homotetramerization;triglyceride biosynthetic process;lipid homeostasis;positive regulation of cellular metabolic process
ACACB	energy reserve metabolic process;fatty acid biosynthetic process;carnitine shuttle;positive regulation of cellular metabolic process;cellular lipid metabolic process;small molecule metabolic process;regulation of fatty acid oxidation;acetyl-CoA metabolic process;protein homotetramerization
ACAD10	-
ACAD11	fatty acid beta-oxidation using acyl-CoA dehydrogenase
ACAD8	"regulation of transcription, DNA-dependent;lipid metabolic process;branched chain family amino acid catabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process"
ACAD9	-
ACADL	"temperature homeostasis;cellular lipid metabolic process;fatty acid metabolic process;small molecule metabolic process;fatty acid beta-oxidation;negative regulation of fatty acid biosynthetic process;carnitine metabolic process, CoA-linked;negative regulation of fatty acid oxidation;fatty acid beta-oxidation using acyl-CoA dehydrogenase;protein homotetramerization;carnitine catabolic process;oxidation-reduction process;long-chain fatty acid catabolic process;regulation of cholesterol metabolic process;cellular lipid catabolic process"
ACADM	"carnitine metabolic process, CoA-linked;fatty acid beta-oxidation using acyl-CoA dehydrogenase;cellular lipid metabolic process;small molecule metabolic process;carnitine biosynthetic process;medium-chain fatty acid metabolic process;medium-chain fatty acid catabolic process;fatty acid beta-oxidation;oxidation-reduction process"
ACADS	fatty acid metabolic process;response to glucocorticoid stimulus;fatty acid beta-oxidation;fatty acid beta-oxidation using acyl-CoA dehydrogenase;response to starvation;cellular lipid metabolic process;small molecule metabolic process;butyrate catabolic process;protein homotetramerization
ACADSB	lipid metabolic process;fatty acid metabolic process;acyl-CoA metabolic process;branched chain family amino acid catabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process
ACADVL	fatty acid metabolic process;small molecule metabolic process;fatty acid beta-oxidation;negative regulation of fatty acid biosynthetic process;activation of signaling protein activity involved in unfolded protein response;negative regulation of fatty acid oxidation;energy derivation by oxidation of organic compounds;regulation of cholesterol metabolic process;endoplasmic reticulum unfolded protein response;fatty acid beta-oxidation using acyl-CoA dehydrogenase;very long-chain fatty acid catabolic process;temperature homeostasis;cellular lipid metabolic process
ACAN	skeletal system development;proteolysis;cell adhesion
ACAP1	regulation of ARF GTPase activity;intracellular signal transduction;lipid metabolic process;protein transport
ACAP2	regulation of ARF GTPase activity
ACAP2-IT1	-
ACAP3	filopodium assembly;signal transduction;regulation of ARF GTPase activity
ACAT1	response to organic cyclic compound;protein homooligomerization;cellular nitrogen compound metabolic process;adipose tissue development;response to starvation;metanephric proximal convoluted tubule development;cellular lipid metabolic process;liver development;small molecule metabolic process;brain development;cellular ketone body metabolic process;branched chain family amino acid catabolic process;ketone body biosynthetic process;response to hormone stimulus;ketone body catabolic process
ACAT2	lipid metabolic process
ACBD3	steroid biosynthetic process;transport
ACBD4	-
ACBD5	transport
ACBD6	-
ACBD7	-
ACCS	biosynthetic process
ACCSL	biosynthetic process
ACD	"telomere maintenance;negative regulation of telomere maintenance via telomerase;skeletal system development;segmentation;urogenital system development;positive regulation of telomerase activity;intracellular protein transport;positive regulation of single-stranded telomeric DNA binding;telomere capping;protein localization to chromosome, telomeric region;embryonic limb morphogenesis;protection from non-homologous end joining at telomere;telomere assembly"
ACE	proteolysis;regulation of vasodilation;heart contraction;response to hypoxia;regulation of blood pressure;hormone catabolic process;hemopoietic stem cell differentiation;kidney development;regulation of smooth muscle cell migration;eating behavior;blood vessel remodeling;regulation of vasoconstriction;positive regulation of apoptotic process;angiotensin catabolic process in blood;sensory perception of pain;peptide catabolic process;regulation of renal output by angiotensin;response to nutrient levels;arachidonic acid secretion;neutrophil mediated immunity;response to lipopolysaccharide;positive regulation of inflammatory response;regulation of systemic arterial blood pressure by renin-angiotensin;mononuclear cell proliferation;positive regulation of neurogenesis
ACE2	"proteolysis;virion attachment, binding of host cell surface receptor;response to virus;regulation of inflammatory response;regulation of vasoconstriction;positive regulation of reactive oxygen species metabolic process;receptor biosynthetic process;regulation of cytokine production;regulation of cell proliferation;angiotensin catabolic process in blood;regulation of vasodilation;angiotensin-mediated drinking behavior;interspecies interaction between organisms;regulation of systemic arterial blood pressure by renin-angiotensin;entry of virus into host cell"
ACE3P	-
ACER1	sphingolipid metabolic process;regulation of lipid metabolic process;sphingolipid biosynthetic process;small molecule metabolic process;ceramide catabolic process
ACER2	lipid metabolic process;sphingosine biosynthetic process;sphingolipid metabolic process;negative regulation of protein glycosylation in Golgi;ceramide metabolic process;positive regulation of cell proliferation;sphingolipid biosynthetic process;response to retinoic acid;negative regulation of cell adhesion mediated by integrin;negative regulation of cell-matrix adhesion;small molecule metabolic process
ACER3	positive regulation of cell proliferation;sphingolipid biosynthetic process;small molecule metabolic process;sphingosine biosynthetic process;phytosphingosine biosynthetic process;sphingolipid metabolic process;ceramide metabolic process
ACHE	"regulation of receptor recycling;synapse assembly;amyloid precursor protein metabolic process;osteoblast development;muscle organ development;neurotransmitter receptor biosynthetic process;DNA replication;cell proliferation;regulation of dendrite morphogenesis;acetylcholine catabolic process;response to wounding;positive regulation of protein secretion;cell adhesion;choline metabolic process;regulation of axonogenesis;synaptic transmission;receptor internalization;protein tetramerization;synaptic transmission, cholinergic;negative regulation of synaptic transmission, cholinergic;retina development in camera-type eye;acetylcholine catabolic process in synaptic cleft;nervous system development;neurotransmitter biosynthetic process"
ACIN1	apoptotic chromosome condensation;positive regulation of monocyte differentiation;ATP catabolic process;apoptotic process;cellular component disassembly involved in apoptosis;erythrocyte differentiation
ACKR1	G-protein coupled receptor signaling pathway;defense response
ACKR2	-
ACKR3	-
ACKR4	-
ACLY	energy reserve metabolic process;cellular carbohydrate metabolic process;ATP catabolic process;small molecule metabolic process;lipid biosynthetic process;coenzyme A metabolic process;triglyceride biosynthetic process;positive regulation of cellular metabolic process;long-chain fatty-acyl-CoA biosynthetic process;citrate metabolic process;cellular lipid metabolic process
ACMSD	quinolinate metabolic process;tryptophan catabolic process;cellular nitrogen compound metabolic process;small molecule metabolic process
ACO1	response to iron(II) ion;regulation of gene expression;tricarboxylic acid cycle;intestinal absorption;citrate metabolic process;regulation of translation;cellular iron ion homeostasis;metabolic process;post-embryonic development
ACO2	generation of precursor metabolites and energy;tricarboxylic acid cycle;citrate metabolic process;isocitrate metabolic process;small molecule metabolic process
ACOT1	lipid metabolic process;acyl-CoA metabolic process;very long-chain fatty acid metabolic process;long-chain fatty acid metabolic process
ACOT11	fatty acid metabolic process;response to temperature stimulus;response to cold;intracellular signal transduction
ACOT12	acetyl-CoA metabolic process;lipid metabolic process;fatty acid metabolic process;acyl-CoA metabolic process
ACOT13	protein homotetramerization
ACOT2	very long-chain fatty acid metabolic process;long-chain fatty acid metabolic process;lipid metabolic process;acyl-CoA metabolic process
ACOT4	unsaturated monocarboxylic acid metabolic process;very long-chain fatty acid metabolic process;dicarboxylic acid metabolic process;long-chain fatty acid metabolic process;short-chain fatty acid metabolic process;succinyl-CoA metabolic process;lipid metabolic process;acyl-CoA metabolic process;butyrate metabolic process;saturated monocarboxylic acid metabolic process
ACOT6	-
ACOT7	lipid metabolic process
ACOT8	cellular lipid metabolic process;small molecule metabolic process;interspecies interaction between organisms;acyl-CoA metabolic process;bile acid biosynthetic process;peroxisome organization;bile acid metabolic process;fatty acid beta-oxidation using acyl-CoA oxidase
ACOT9	acyl-CoA metabolic process
ACOX1	very long-chain fatty acid metabolic process;small molecule metabolic process;generation of precursor metabolites and energy;lipid metabolic process;prostaglandin metabolic process;spermatogenesis;fatty acid oxidation;fatty acid beta-oxidation using acyl-CoA oxidase;cellular lipid metabolic process
ACOX2	fatty acid beta-oxidation using acyl-CoA oxidase;cellular lipid metabolic process;small molecule metabolic process;fatty acid metabolic process;bile acid biosynthetic process;bile acid metabolic process
ACOX3	fatty acid metabolic process;fatty acid beta-oxidation using acyl-CoA oxidase;cellular lipid metabolic process;small molecule metabolic process
ACOXL	fatty acid beta-oxidation
ACP1	-
ACP2	skeletal system development;lysosome organization;response to organic substance;dephosphorylation;autophagic cell death
ACP5	riboflavin metabolic process;small molecule metabolic process;dephosphorylation;negative regulation of nitric oxide biosynthetic process;response to lipopolysaccharide;bone resorption;negative regulation of interleukin-1 beta production;negative regulation of inflammatory response;negative regulation of interleukin-12 production;defense response to Gram-positive bacterium;negative regulation of tumor necrosis factor production;bone morphogenesis;vitamin metabolic process;negative regulation of superoxide anion generation;water-soluble vitamin metabolic process;response to cytokine stimulus
ACP6	lipid metabolic process
ACP7	-
ACPP	-
ACPT	-
ACR	penetration of zona pellucida;response to biotic stimulus;response to steroid hormone stimulus;acrosome matrix dispersal;proteolysis;activation of adenylate cyclase activity;single fertilization;acrosome reaction
ACRBP	-
ACRC	-
ACSBG1	response to glucocorticoid stimulus;very long-chain fatty acid metabolic process;ovarian follicle atresia;long-chain fatty acid metabolic process;lipid metabolic process;myelination
ACSBG2	cell differentiation;lipid metabolic process;fatty acid metabolic process;multicellular organismal development;spermatogenesis
ACSF2	lipid metabolic process;fatty acid metabolic process
ACSF3	lipid metabolic process;fatty acid metabolic process;fatty acid biosynthetic process;malonate catabolic process
ACSL1	fatty acid metabolic process;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;cellular lipid metabolic process;small molecule metabolic process;regulation of fatty acid oxidation
ACSL3	brain development;response to nutrient;response to organic cyclic compound;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;cellular lipid metabolic process;small molecule metabolic process;fatty acid biosynthetic process
ACSL4	fatty acid metabolic process;dendritic spine development;response to nutrient;response to interleukin-15;triglyceride biosynthetic process;positive regulation of cell growth;long-chain fatty-acyl-CoA biosynthetic process;cellular lipid metabolic process;small molecule metabolic process;lipid metabolic process;embryonic process involved in female pregnancy
ACSL5	response to glucose stimulus;small molecule metabolic process;positive regulation of plasma membrane long-chain fatty acid transport;response to cholesterol;positive regulation of triglyceride biosynthetic process;fatty acid transport;triglyceride biosynthetic process;fatty acid metabolic process;cellular response to insulin stimulus;response to nutrient;long-chain fatty-acyl-CoA biosynthetic process;response to sucrose stimulus;cellular lipid metabolic process
ACSL6	fatty acid metabolic process;acyl-CoA metabolic process;neuroblast proliferation;triglyceride biosynthetic process;long-chain fatty-acyl-CoA biosynthetic process;cellular lipid metabolic process;small molecule metabolic process
ACSM1	xenobiotic metabolic process;energy derivation by oxidation of organic compounds;benzoate metabolic process;fatty acid oxidation;butyrate metabolic process;small molecule metabolic process;lipid metabolic process;fatty acid biosynthetic process
ACSM2B	fatty acid metabolic process;xenobiotic metabolic process;small molecule metabolic process;lipid metabolic process
ACSM3	lipid metabolic process;fatty acid biosynthetic process;regulation of blood pressure
ACSM5	lipid metabolic process;fatty acid metabolic process
ACSM6	lipid metabolic process;fatty acid metabolic process
ACSS1	xenobiotic metabolic process;acetate biosynthetic process;propionate biosynthetic process;small molecule metabolic process;ethanol oxidation;acetyl-CoA biosynthetic process
ACSS2	ethanol oxidation;acetyl-CoA biosynthetic process;xenobiotic metabolic process;lipid biosynthetic process;small molecule metabolic process
ACSS3	-
ACTA1	response to mechanical stimulus;skeletal muscle fiber development;response to extracellular stimulus;response to lithium ion;cell growth;muscle filament sliding;skeletal muscle thin filament assembly;skeletal muscle fiber adaptation;muscle contraction;response to steroid hormone stimulus
ACTA2	muscle contraction;regulation of blood pressure;response to virus;vascular smooth muscle contraction;glomerular mesangial cell development
ACTA2-AS1	-
ACTB	axon guidance;blood coagulation;cell junction assembly;adherens junction organization;cellular protein metabolic process;cell-cell junction organization;protein folding;'de novo' posttranslational protein folding;cellular component movement;response to calcium ion
ACTBL2	-
ACTBP1	-
ACTBP11	-
ACTBP13	-
ACTBP14	-
ACTBP2	-
ACTBP7	-
ACTBP8	-
ACTBP9	-
ACTC1	ATP catabolic process;response to ethanol;apoptotic process;cardiac myofibril assembly;actin filament-based movement;cardiac muscle tissue morphogenesis;muscle filament sliding;heart contraction;skeletal muscle thin filament assembly;cardiac muscle contraction;actomyosin structure organization;actin-myosin filament sliding;response to drug
ACTG1	cell junction assembly;adherens junction organization;sarcomere organization;cell-cell junction organization;response to calcium ion;cellular component movement;axon guidance;blood coagulation
ACTG1P1	-
ACTG1P10	-
ACTG1P12	-
ACTG1P17	-
ACTG1P20	-
ACTG1P3	-
ACTG1P9	-
ACTG2	muscle contraction
ACTL10	-
ACTL6A	regulation of growth;neural retina development;histone H4 acetylation;DNA repair;histone H2A acetylation;DNA recombination;chromatin remodeling;regulation of transcription from RNA polymerase II promoter;signal transduction;nervous system development
ACTL6B	chromatin organization;chromatin remodeling;regulation of transcription from RNA polymerase II promoter;nervous system development
ACTL7B	-
ACTL8	-
ACTL9	-
ACTN1	focal adhesion assembly;actin filament bundle assembly;negative regulation of cellular component movement;platelet degranulation;blood coagulation;platelet activation;cell junction assembly;regulation of apoptotic process
ACTN1-AS1	-
ACTN2	muscle filament sliding;platelet activation;regulation of apoptotic process;platelet degranulation;focal adhesion assembly;cell adhesion;protein homotetramerization;synaptic transmission;blood coagulation;microspike assembly
ACTN3	muscle filament sliding;regulation of apoptotic process;focal adhesion assembly
ACTN4	blood coagulation;positive regulation of cellular component movement;protein transport;platelet activation;positive regulation of sodium:hydrogen antiporter activity;regulation of apoptotic process;positive regulation of pinocytosis;response to hypoxia;actin filament bundle assembly;platelet degranulation;negative regulation of cellular component movement
ACTN4P1	-
ACTN4P2	-
ACTR10	microtubule-based movement
ACTR1A	G2/M transition of mitotic cell cycle;mitotic cell cycle;vesicle-mediated transport
ACTR1B	-
ACTR2	cellular component movement
ACTR3	response to antibiotic;cellular component movement;positive regulation of dendrite morphogenesis;response to carbohydrate stimulus;positive regulation of filopodium assembly;positive regulation of lamellipodium assembly;cilium morphogenesis;cell projection organization;positive regulation of actin filament polymerization;regulation of myosin II filament organization;positive regulation of neuron differentiation
ACTR3B	regulation of actin filament polymerization
ACTR3BP2	-
ACTR3BP4	-
ACTR3BP6	-
ACTR3C	regulation of actin filament polymerization
ACTR3P2	-
ACTR5	"double-strand break repair;DNA recombination;regulation of transcription, DNA-dependent;UV-damage excision repair"
ACTR6	-
ACTR8	"DNA repair;DNA recombination;regulation of transcription, DNA-dependent;cell cycle;mitosis;cell division"
ACTRT3	-
ACVR1	"G1/S transition of mitotic cell cycle;protein phosphorylation;negative regulation of signal transduction;regulation of skeletal muscle tissue development;patterning of blood vessels;transmembrane receptor protein serine/threonine kinase signaling pathway;regulation of ossification;smooth muscle cell differentiation;urogenital system development;transforming growth factor beta receptor signaling pathway;positive regulation of bone mineralization;pharyngeal system development;in utero embryonic development;germ cell development;BMP signaling pathway;cellular response to glucocorticoid stimulus;gastrulation with mouth forming second;determination of left/right symmetry;negative regulation of activin receptor signaling pathway;mesoderm formation;mesoderm development;negative regulation of apoptotic process;neural crest cell migration;heart development;positive regulation of osteoblast differentiation;acute inflammatory response;embryo development;positive regulation of transcription, DNA-dependent"
ACVR1B	"signal transduction;transmembrane receptor protein serine/threonine kinase signaling pathway;peptidyl-threonine phosphorylation;negative regulation of cell growth;G1/S transition of mitotic cell cycle;activin receptor signaling pathway;regulation of transcription, DNA-dependent;positive regulation of activin receptor signaling pathway;protein phosphorylation;positive regulation of erythrocyte differentiation;induction of apoptosis;protein autophosphorylation"
ACVR1C	response to glucose stimulus;lipid storage;cell differentiation;response to insulin stimulus;regulation of apoptotic process;negative regulation of insulin secretion;response to dietary excess;protein phosphorylation
