go_child_term	go_child_term_name	ontology
GO:0006081	cellular aldehyde metabolic process	BP
GO:0006066	alcohol metabolic process	BP
GO:0042886	amide transport	BP
GO:0016192	vesicle-mediated transport	BP
GO:0042440	pigment metabolic process	BP
GO:0002376	immune system process	BP
GO:0042180	cellular ketone metabolic process	BP
GO:0046903	secretion	BP
GO:0043094	cellular metabolic compound salvage	BP
GO:0015833	peptide transport	BP
GO:0006461	protein complex assembly	BP
GO:0006304	DNA modification	BP
GO:0032196	transposition	BP
GO:0034622	cellular macromolecular complex assembly	BP
GO:0015979	photosynthesis	BP
GO:0007155	cell adhesion	BP
GO:0009306	protein secretion	BP
GO:0009405	pathogenesis	BP
GO:0006928	cellular component movement	BP
GO:0007059	chromosome segregation	BP
GO:0051189	prosthetic group metabolic process	BP
GO:0006397	mRNA processing	BP
GO:0051276	chromosome organization	BP
GO:0022411	cellular component disassembly	BP
GO:0006605	protein targeting	BP
GO:0046794	transport of virus	BP
GO:0030154	cell differentiation	BP
GO:0006730	one-carbon metabolic process	BP
GO:0015891	siderophore transport	BP
GO:0006518	peptide metabolic process	BP
GO:0048870	cell motility	BP
GO:0015931	nucleobase-containing compound transport	BP
GO:0015893	drug transport	BP
GO:0006935	chemotaxis	BP
GO:0006112	energy reserve metabolic process	BP
GO:0009225	nucleotide-sugar metabolic process	BP
GO:0051180	vitamin transport	BP
GO:0006266	DNA ligation	BP
GO:0050877	neurological system process	BP
GO:0051181	cofactor transport	BP
GO:0071941	nitrogen cycle metabolic process	BP
GO:0043101	purine-containing compound salvage	BP
GO:0000003	reproduction	BP
GO:0051606	detection of stimulus	BP
GO:0008219	cell death	BP
GO:0006869	lipid transport	BP
GO:0032989	cellular component morphogenesis	BP
GO:0000902	cell morphogenesis	BP
GO:0046490	isopentenyl diphosphate metabolic process	BP
GO:0006323	DNA packaging	BP
GO:0019748	secondary metabolic process	BP
GO:0006913	nucleocytoplasmic transport	BP
GO:0030031	cell projection assembly	BP
GO:0009790	embryo development	BP
GO:0007010	cytoskeleton organization	BP
GO:0008655	pyrimidine-containing compound salvage	BP
GO:0015669	gas transport	BP
GO:0051604	protein maturation	BP
GO:0048646	anatomical structure formation involved in morphogenesis	BP
GO:0015791	polyol transport	BP
GO:0022618	ribonucleoprotein complex assembly	BP
GO:0006662	glycerol ether metabolic process	BP
GO:0043163	cell envelope organization	BP
GO:0009292	genetic transfer	BP
GO:0051258	protein polymerization	BP
GO:0015837	amine transport	BP
GO:0009372	quorum sensing	BP
GO:0001906	cell killing	BP
GO:0031640	killing of cells of other organism	BP
GO:0048285	organelle fission	BP
GO:0006836	neurotransmitter transport	BP
GO:0007267	cell-cell signaling	BP
GO:0000280	nuclear division	BP
GO:0017144	drug metabolic process	BP
GO:0006805	xenobiotic metabolic process	BP
GO:0016050	vesicle organization	BP
GO:0043934	sporulation	BP
GO:0040007	growth	BP
GO:0007005	mitochondrion organization	BP
GO:0015976	carbon utilization	BP
GO:0009404	toxin metabolic process	BP
GO:0000746	conjugation	BP
GO:0001775	cell activation	BP
GO:0042908	xenobiotic transport	BP
GO:0031647	regulation of protein stability	BP
GO:0006354	"DNA-templated transcription, elongation"	BP
GO:0007067	mitotic nuclear division	BP
GO:0008283	cell proliferation	BP
GO:0043446	cellular alkane metabolic process	BP
GO:0015948	methanogenesis	BP
GO:0051640	organelle localization	BP
GO:0016458	gene silencing	BP
GO:0015920	lipopolysaccharide transport	BP
GO:0042044	fluid transport	BP
GO:0006914	autophagy	BP
GO:0003013	circulatory system process	BP
GO:0008015	blood circulation	BP
GO:0048511	rhythmic process	BP
GO:0050878	regulation of body fluid levels	BP
GO:0007031	peroxisome organization	BP
GO:0009657	plastid organization	BP
GO:0006113	fermentation	BP
GO:0046950	cellular ketone body metabolic process	BP
GO:0016049	cell growth	BP
GO:0042445	hormone metabolic process	BP
GO:0021700	developmental maturation	BP
GO:0006276	plasmid maintenance	BP
GO:0022406	membrane docking	BP
GO:0043062	extracellular structure organization	BP
GO:0030198	extracellular matrix organization	BP
GO:0008037	cell recognition	BP
GO:0050817	coagulation	BP
GO:0048469	cell maturation	BP
GO:0007568	aging	BP
GO:0043473	pigmentation	BP
GO:0007009	plasma membrane organization	BP
GO:0006936	muscle contraction	BP
GO:0034330	cell junction organization	BP
GO:0030705	cytoskeleton-dependent intracellular transport	BP
GO:0007033	vacuole organization	BP
GO:0031023	microtubule organizing center organization	BP
GO:0006997	nucleus organization	BP
GO:0001816	cytokine production	BP
GO:0048284	organelle fusion	BP
GO:0051705	multi-organism behavior	BP
GO:0007030	Golgi organization	BP
GO:0048771	tissue remodeling	BP
GO:0007034	vacuolar transport	BP
GO:0009914	hormone transport	BP
GO:0042303	molting cycle	BP
GO:0015949	nucleobase-containing small molecule interconversion	BP
GO:0007029	endoplasmic reticulum organization	BP
GO:0042710	biofilm formation	BP
GO:0051261	protein depolymerization	BP
GO:0007586	digestion	BP
GO:0045231	slime layer organization	BP
GO:0050886	endocrine process	BP
GO:0045230	capsule organization	BP
GO:0051703	intraspecies interaction between organisms	BP
GO:0007032	endosome organization	BP
GO:0006949	syncytium formation	BP
GO:0007588	excretion	BP
GO:0050879	multicellular organismal movement	BP
GO:0042133	neurotransmitter metabolic process	BP
GO:0018942	organometal metabolic process	BP
GO:0043449	cellular alkene metabolic process	BP
GO:0043500	muscle adaptation	BP
GO:0048308	organelle inheritance	BP
GO:0048753	pigment granule organization	BP
GO:0007028	cytoplasm organization	BP
GO:0010118	stomatal movement	BP
GO:0030431	sleep	BP
GO:0046864	isoprenoid transport	BP
GO:0000128	flocculation	BP
GO:0052314	phytoalexin metabolic process	BP
GO:0042810	pheromone metabolic process	BP
GO:0010191	mucilage metabolic process	BP
GO:0045478	fusome organization	BP
GO:0050761	depsipeptide metabolic process	BP
GO:0042620	poly(3-hydroxyalkanoate) metabolic process	BP
GO:0031049	programmed DNA elimination	BP
GO:0015835	peptidoglycan transport	BP
GO:0043452	cellular alkyne metabolic process	BP
GO:0003674	molecular_function	MF
GO:0003824	catalytic activity	MF
GO:0005488	binding	MF
GO:0016740	transferase activity	MF
GO:0043167	ion binding	MF
GO:0016787	hydrolase activity	MF
GO:0000166	nucleotide binding	MF
GO:0003676	nucleic acid binding	MF
GO:0016491	oxidoreductase activity	MF
GO:0001882	nucleoside binding	MF
GO:0046872	metal ion binding	MF
GO:0003677	DNA binding	MF
GO:0005215	transporter activity	MF
GO:0016874	ligase activity	MF
GO:0003723	RNA binding	MF
GO:0022857	transmembrane transporter activity	MF
GO:0016301	kinase activity	MF
GO:0016829	lyase activity	MF
GO:0016788	"hydrolase activity, acting on ester bonds"	MF
GO:0016853	isomerase activity	MF
GO:0048037	cofactor binding	MF
GO:0008233	peptidase activity	MF
GO:0016887	ATPase activity	MF
GO:0016779	nucleotidyltransferase activity	MF
GO:0008168	methyltransferase activity	MF
GO:0004518	nuclease activity	MF
GO:0016746	"transferase activity, transferring acyl groups"	MF
GO:0051540	metal cluster binding	MF
GO:0001071	nucleic acid binding transcription factor activity	MF
GO:0004812	aminoacyl-tRNA ligase activity	MF
GO:0016757	"transferase activity, transferring glycosyl groups"	MF
GO:0009055	electron carrier activity	MF
GO:0005198	structural molecule activity	MF
GO:0016798	"hydrolase activity, acting on glycosyl bonds"	MF
GO:0060089	molecular transducer activity	MF
GO:0004871	signal transducer activity	MF
GO:0016810	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"	MF
GO:0005515	protein binding	MF
GO:0019843	rRNA binding	MF
GO:0004672	protein kinase activity	MF
GO:0003735	structural constituent of ribosome	MF
GO:0004386	helicase activity	MF
GO:0004872	receptor activity	MF
GO:0046906	tetrapyrrole binding	MF
GO:0034062	RNA polymerase activity	MF
GO:0016407	acetyltransferase activity	MF
GO:0034061	DNA polymerase activity	MF
GO:0008135	"translation factor activity, nucleic acid binding"	MF
GO:0016765	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	MF
GO:0016209	antioxidant activity	MF
GO:0003924	GTPase activity	MF
GO:0016791	phosphatase activity	MF
GO:0004497	monooxygenase activity	MF
GO:0000988	protein binding transcription factor activity	MF
GO:0031406	carboxylic acid binding	MF
GO:0030246	carbohydrate binding	MF
GO:0008565	protein transporter activity	MF
GO:0051213	dioxygenase activity	MF
GO:0016597	amino acid binding	MF
GO:0019842	vitamin binding	MF
GO:0051082	unfolded protein binding	MF
GO:0004803	transposase activity	MF
GO:0019239	deaminase activity	MF
GO:0005102	receptor binding	MF
GO:0030234	enzyme regulator activity	MF
GO:0033218	amide binding	MF
GO:0008289	lipid binding	MF
GO:0008134	transcription factor binding	MF
GO:0008144	drug binding	MF
GO:0019899	enzyme binding	MF
GO:0019213	deacetylase activity	MF
GO:0003774	motor activity	MF
GO:0008092	cytoskeletal protein binding	MF
GO:0043021	ribonucleoprotein complex binding	MF
GO:0046812	host cell surface binding	MF
GO:0016298	lipase activity	MF
GO:0003682	chromatin binding	MF
GO:0042277	peptide binding	MF
GO:0008907	integrase activity	MF
GO:0004133	glycogen debranching enzyme activity	MF
GO:0019825	oxygen binding	MF
GO:0003729	mRNA binding	MF
GO:0009009	site-specific recombinase activity	MF
GO:0003823	antigen binding	MF
GO:0000156	phosphorelay response regulator activity	MF
GO:0043364	catalysis of free radical formation	MF
GO:0009975	cyclase activity	MF
GO:0001871	pattern binding	MF
GO:0045735	nutrient reservoir activity	MF
GO:0060090	"binding, bridging"	MF
GO:0030674	"protein binding, bridging"	MF
GO:0031992	energy transducer activity	MF
GO:0042393	histone binding	MF
GO:0005549	odorant binding	MF
GO:0043178	alcohol binding	MF
GO:0032182	small conjugating protein binding	MF
GO:0005496	steroid binding	MF
GO:0045182	translation regulator activity	MF
GO:0008641	small protein activating enzyme activity	MF
GO:0050840	extracellular matrix binding	MF
GO:0032451	demethylase activity	MF
GO:0031386	protein tag	MF
GO:0042562	hormone binding	MF
GO:0019840	isoprenoid binding	MF
GO:0016530	metallochaperone activity	MF
GO:0050824	water binding	MF
GO:0042056	chemoattractant activity	MF
GO:0043176	amine binding	MF
GO:0031409	pigment binding	MF
GO:0045499	chemorepellent activity	MF
GO:0042165	neurotransmitter binding	MF
GO:0002054	nucleobase binding	MF
GO:0043498	cell surface binding	MF
GO:0035273	phthalate binding	MF
GO:0030555	RNA modification guide activity	MF
GO:0030533	triplet codon-amino acid adaptor activity	MF
GO:0030528	transcription regulator activity	MF
GO:0005575	cellular_component	CC
GO:0005623	cell	CC
GO:0044464	cell part	CC
GO:0016020	membrane	CC
GO:0005622	intracellular	CC
GO:0005737	cytoplasm	CC
GO:0043226	organelle	CC
GO:0043229	intracellular organelle	CC
GO:0005886	plasma membrane	CC
GO:0032991	macromolecular complex	CC
GO:0043231	intracellular membrane-bounded organelle	CC
GO:0030529	ribonucleoprotein complex	CC
GO:0043232	intracellular non-membrane-bounded organelle	CC
GO:0005840	ribosome	CC
GO:0005576	extracellular region	CC
GO:0043234	protein complex	CC
GO:0019012	virion	CC
GO:0005739	mitochondrion	CC
GO:0030312	external encapsulating structure	CC
GO:0005634	nucleus	CC
GO:0030313	cell envelope	CC
GO:0009536	plastid	CC
GO:0019867	outer membrane	CC
GO:0042597	periplasmic space	CC
GO:0070469	respiratory chain	CC
GO:0042995	cell projection	CC
GO:0016469	proton-transporting two-sector ATPase complex	CC
GO:0005694	chromosome	CC
GO:0009579	thylakoid	CC
GO:0005856	cytoskeleton	CC
GO:0043190	ATP-binding cassette (ABC) transporter complex	CC
GO:0005618	cell wall	CC
GO:0005829	cytosol	CC
GO:0015935	small ribosomal subunit	CC
GO:0000502	proteasome complex	CC
GO:0009289	pilus	CC
GO:0031982	vesicle	CC
GO:0005783	endoplasmic reticulum	CC
GO:0009521	photosystem	CC
GO:0009295	nucleoid	CC
GO:0005794	Golgi apparatus	CC
GO:0042611	MHC protein complex	CC
GO:0005654	nucleoplasm	CC
GO:0043230	extracellular organelle	CC
GO:0009986	cell surface	CC
GO:0005615	extracellular space	CC
GO:0042575	DNA polymerase complex	CC
GO:0031012	extracellular matrix	CC
GO:0032153	cell division site	CC
GO:0000786	nucleosome	CC
GO:0009317	acetyl-CoA carboxylase complex	CC
GO:0005578	proteinaceous extracellular matrix	CC
GO:0048500	signal recognition particle	CC
GO:0016023	cytoplasmic membrane-bounded vesicle	CC
GO:0005730	nucleolus	CC
GO:0045202	synapse	CC
GO:0005773	vacuole	CC
GO:0000228	nuclear chromosome	CC
GO:0005815	microtubule organizing center	CC
GO:0030894	replisome	CC
GO:0005727	extrachromosomal circular DNA	CC
GO:0045239	tricarboxylic acid cycle enzyme complex	CC
GO:0005768	endosome	CC
GO:0043005	neuron projection	CC
GO:0005929	cilium	CC
GO:0005667	transcription factor complex	CC
GO:0005635	nuclear envelope	CC
GO:0033202	DNA helicase complex	CC
GO:0042579	microbody	CC
GO:0005777	peroxisome	CC
GO:0032300	mismatch repair complex	CC
GO:0005813	centrosome	CC
GO:0048476	Holliday junction resolvase complex	CC
GO:0000151	ubiquitin ligase complex	CC
GO:0005960	glycine cleavage complex	CC
GO:0005764	lysosome	CC
GO:0005681	spliceosomal complex	CC
GO:0030076	light-harvesting complex	CC
GO:0030880	RNA polymerase complex	CC
GO:0043235	receptor complex	CC
GO:0045252	oxoglutarate dehydrogenase complex	CC
GO:0016591	"DNA-directed RNA polymerase II, holoenzyme"	CC
GO:0031248	protein acetyltransferase complex	CC
GO:0005643	nuclear pore	CC
GO:0031252	cell leading edge	CC
GO:0045177	apical part of cell	CC
GO:0030119	AP-type membrane coat adaptor complex	CC
GO:0000776	kinetochore	CC
GO:0045273	respiratory chain complex II	CC
GO:0030684	preribosome	CC
GO:0044297	cell body	CC
GO:0030964	NADH dehydrogenase complex	CC
GO:0043025	neuronal cell body	CC
GO:0045254	pyruvate dehydrogenase complex	CC
GO:0005835	fatty acid synthase complex	CC
GO:0030532	small nuclear ribonucleoprotein complex	CC
GO:0045277	respiratory chain complex IV	CC
GO:0055044	symplast	CC
GO:0008287	protein serine/threonine phosphatase complex	CC
GO:0000178	exosome (RNase complex)	CC
GO:0005891	voltage-gated calcium channel complex	CC
GO:0030427	site of polarized growth	CC
GO:0043527	tRNA methyltransferase complex	CC
GO:0017053	transcriptional repressor complex	CC
GO:0030496	midbody	CC
GO:0005811	lipid particle	CC
GO:0000439	core TFIIH complex	CC
GO:0005732	small nucleolar ribonucleoprotein complex	CC
GO:0035097	histone methyltransferase complex	CC
GO:0000808	origin recognition complex	CC
GO:0031105	septin complex	CC
GO:0005849	mRNA cleavage factor complex	CC
GO:0005744	mitochondrial inner membrane presequence translocase complex	CC
GO:0031519	PcG protein complex	CC
GO:0008278	cohesin complex	CC
GO:0000796	condensin complex	CC
GO:0016610	nitrogenase complex	CC
GO:0030904	retromer complex	CC
GO:0005902	microvillus	CC
GO:0030677	ribonuclease P complex	CC
GO:0008023	transcription elongation factor complex	CC
GO:0030175	filopodium	CC
GO:0005942	phosphatidylinositol 3-kinase complex	CC
GO:0030990	intraciliary transport particle	CC
GO:0008290	F-actin capping protein complex	CC
GO:0016010	dystrophin-associated glycoprotein complex	CC
GO:0005903	brush border	CC
GO:0032421	stereocilium bundle	CC
GO:0045178	basal part of cell	CC
GO:0045275	respiratory chain complex III	CC
GO:0000109	nucleotide-excision repair complex	CC
GO:0000930	gamma-tubulin complex	CC
GO:0000346	transcription export complex	CC
GO:0031332	RNAi effector complex	CC
GO:0005844	polysome	CC
GO:0043256	laminin complex	CC
GO:0005663	DNA replication factor C complex	CC
GO:0031082	BLOC complex	CC
GO:0000347	THO complex	CC
GO:0005933	cellular bud	CC
GO:0001917	photoreceptor inner segment	CC
GO:0000782	telomere cap complex	CC
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	CC
GO:0019814	immunoglobulin complex	CC
GO:0005937	mating projection	CC
GO:0000229	cytoplasmic chromosome	CC
GO:0030428	cell septum	CC
GO:0042600	chorion	CC
GO:0031143	pseudopodium	CC
GO:0031264	death-inducing signaling complex	CC
GO:0031371	ubiquitin conjugating enzyme complex	CC
GO:0033061	DNA recombinase mediator complex	CC
GO:0005784	Sec61 translocon complex	CC
GO:0031254	cell trailing edge	CC
GO:0030115	S-layer	CC
GO:0009368	endopeptidase Clp complex	CC
GO:0031501	mannosyltransferase complex	CC
GO:0031094	platelet dense tubular network	CC
GO:0005697	telomerase holoenzyme complex	CC
GO:0045293	mRNA editing complex	CC
GO:0016028	rhabdomere	CC
GO:0020015	glycosome	CC
GO:0033256	I-kappaB/NF-kappaB complex	CC
GO:0031205	endoplasmic reticulum Sec complex	CC
GO:0043511	inhibin complex	CC
GO:0042824	MHC class I peptide loading complex	CC
GO:0032059	bleb	CC
GO:0043033	isoamylase complex	CC
GO:0042566	hydrogenosome	CC
GO:0030689	Noc complex	CC
GO:0030112	glycocalyx	CC
GO:0048180	activin complex	CC
GO:0032997	Fc receptor complex	CC
GO:0031074	nucleocytoplasmic shuttling complex	CC
GO:0048196	plant extracellular matrix	CC
GO:0000133	polarisome	CC
GO:0035230	cytoneme	CC
GO:0046536	dosage compensation complex	CC
GO:0016942	insulin-like growth factor binding protein complex	CC
GO:0033099	attachment organelle	CC
GO:0043591	endospore external encapsulating structure	CC
GO:0030929	ADPG pyrophosphorylase complex	CC
GO:0070451	cell hair	CC
GO:0045251	electron transfer flavoprotein complex	CC
GO:0031469	polyhedral organelle	CC
GO:0020022	acidocalcisome	CC
GO:0001534	radial spoke	CC
GO:0032476	decaprenyl diphosphate synthase complex	CC
GO:0045253	pyruvate dehydrogenase (lipoamide) phosphatase complex	CC
GO:0031026	glutamate synthase complex	CC
GO:0070565	telomere-telomerase complex	CC
GO:0070517	DNA replication factor C core complex	CC
GO:0070450	interleukin4-interleukin-4 receptor complex	CC
GO:0070024	CD19-Vav-PIK3R1 complex	CC
GO:0070023	interleukin-12-interleukin-12 receptor complex	CC
GO:0070021	transforming growth factor beta1-type II receptor-type I receptor complex	CC
GO:0070020	transforming growth factor beta1-type II receptor complex	CC
GO:0048492	ribulose bisphosphate carboxylase complex	CC
GO:0032179	germ tube	CC
GO:0019861	flagellum	CC
GO:0016585	chromatin remodeling complex	CC
GO:0016472	sodium ion-transporting two-sector ATPase complex	CC
GO:0010316	pyrophosphate-dependent phosphofructokinase complex	CC
GO:0000267	cell fraction	CC
