CHEBI	NSC	NAME	STATUS	DRUGBANK	PATHWAY_COMMONS	
NA	757363			FALSE	FALSE_OK	
CHEBI:27375	757384			TRUE	TRUE	
CHEBI:4911	757804			TRUE	TRUE	
CHEBI:60761	758230			TRUE	TRUE	
CHEBI:75998	758246			TRUE	TRUE	
CHEBI:65347	758252			TRUE	TRUE	
CHEBI:71019	758253			TRUE	TRUE	
CHEBI:78543	758487			TRUE	TRUE	
CHEBI:22907	758612			TRUE	TRUE	
CHEBI:45863	758645			TRUE	TRUE	
CHEBI:9168	758664			TRUE	TRUE	
CHEBI:75988	758667			TRUE	TRUE	
CHEBI:28748	759155			TRUE	TRUE	
CHEBI:28445	759174			TRUE	TRUE	
CHEBI:78549	759178			TRUE	FALSE_OK	*
CHEBI:63632	759263			TRUE	TRUE	
NA	759659			FALSE	FALSE_OK	
NA	759660			FALSE	FALSE_OK	
CHEBI:4672	759850			TRUE	TRUE	
CHEBI:681569	759857			TRUE	TRUE	
CHEBI:80630	759878			TRUE	TRUE	
CHEBI:480999	760087			TRUE	TRUE	
CHEBI:72317	761068			TRUE	TRUE	
CHEBI:76612	761910			TRUE	TRUE	
NA	762			FALSE	FALSE_OK	*
CHEBI:75045	764134			TRUE	TRUE	
NA	764136			FALSE	FALSE_OK	
NA	765435			FALSE	FALSE_OK	
CHEBI:39112	765694			TRUE	TRUE	
CHEBI:90851	768069			TRUE	FALSE_BAD	
CHEBI:71417	77213			TRUE	FALSE_BAD	
CHEBI:9288	85998			TRUE	TRUE	
CHEBI:28876	8806			TRUE	FALSE_BAD	
NA	88536			TRUE	FALSE_OK	
CHEBI:27375	90636			TRUE	TRUE	
NA	92859			TRUE	FALSE_OK	
CHEBI:27919	9706			FALSE	FALSE_OK	
